Zeit;Kanal A
(ms);(mV)

-22,66999911;-17,71653000
-22,66499911;-15,85261000
-22,65999911;-14,45312000
-22,65499911;-13,05518000
-22,64999911;-12,58766000
-22,64499911;-10,72373000
-22,63999911;-7,92630300
-22,63499911;-6,06083900
-22,62999911;-2,79742800
-22,62499911;-4,66135500
-22,61999911;-1,39794500
-22,61499911;0,93196350
-22,60999911;2,79742800
-22,60499911;2,32990900
-22,59999911;2,79742800
-22,59499911;3,72939200
-22,58999911;4,19537400
-22,58499911;3,72939200
-22,57999911;2,32990900
-22,57499911;1,39794500
-22,56999911;1,39794500
-22,56499911;2,32990900
-22,55999911;3,72939200
-22,55499911;3,72939200
-22,54999911;5,12733700
-22,54499911;6,06083900
-22,53999911;7,45878400
-22,53499911;7,92630300
-22,52999911;10,72373000
-22,52499911;10,72373000
-22,51999911;12,58766000
-22,51499911;13,52116000
-22,50999911;13,98714000
-22,50499911;14,91911000
-22,49999912;14,45312000
-22,49499912;14,91911000
-22,48999912;15,38509000
-22,48499912;14,91911000
-22,47999912;14,45312000
-22,47499912;13,98714000
-22,46999912;13,52116000
-22,46499912;13,05518000
-22,45999912;13,52116000
-22,45499912;12,12168000
-22,44999912;12,58766000
-22,44499912;11,18971000
-22,43999912;11,65570000
-22,43499912;11,65570000
-22,42999912;11,18971000
-22,42499912;9,79023100
-22,41999912;9,32424900
-22,41499912;8,39228500
-22,40999912;8,39228500
-22,40499912;8,85826700
-22,39999912;9,32424900
-22,39499912;8,39228500
-22,38999912;7,92630300
-22,38499912;7,92630300
-22,37999912;7,45878400
-22,37499912;7,92630300
-22,36999912;7,45878400
-22,36499912;7,45878400
-22,35999912;6,99280200
-22,35499912;6,99280200
-22,34999912;6,52682100
-22,34499912;6,52682100
-22,33999912;5,12733700
-22,33499912;4,66135500
-22,32999912;4,19537400
-22,32499912;3,72939200
-22,31999912;2,79742800
-22,31499912;2,79742800
-22,30999912;1,86392700
-22,30499912;2,32990900
-22,29999912;1,86392700
-22,29499912;1,86392700
-22,28999912;1,39794500
-22,28499912;-1,39794500
-22,27999912;-1,39794500
-22,27499912;-1,86392700
-22,26999912;-2,79742800
-22,26499912;-3,72939200
-22,25999912;-4,19537400
-22,25499912;-5,12733700
-22,24999912;-5,12733700
-22,24499912;-5,12733700
-22,23999912;-6,99280200
-22,23499912;-8,39228500
-22,22999912;-9,32424900
-22,22499912;-10,25621000
-22,21999912;-10,25621000
-22,21499912;-10,72373000
-22,20999912;-12,58766000
-22,20499912;-13,52116000
-22,19999912;-15,38509000
-22,19499912;-16,31859000
-22,18999912;-16,78457000
-22,18499912;-17,71653000
-22,17999912;-19,58200000
-22,17499912;-19,58200000
-22,16999912;-21,44746000
-22,16499912;-22,84541000
-22,15999912;-22,84541000
-22,15499912;-22,37943000
-22,14999912;-23,31139000
-22,14499912;-22,84541000
-22,13999912;-22,37943000
-22,13499912;-22,84541000
-22,12999912;-21,91344000
-22,12499912;-21,44746000
-22,11999912;-21,44746000
