Zeit;Kanal A
(ms);(mV)

-9.18049945;0.93196360
-9.17549945;1.11897100
-9.17049945;0.00000000
-9.16549945;0.37278540
-9.16049945;-0.55917820
-9.15549945;-0.74557080
-9.15049945;-1.30536400
-9.14549945;-0.74557080
-9.14049945;-0.55917820
-9.13549945;0.18639270
-9.13049945;1.11897100
-9.12549945;1.11897100
-9.12049945;2.42433500
-9.11549945;1.86454200
-9.11049945;0.74557080
-9.10549945;0.55917820
-9.10049945;2.05093500
-9.09549945;1.11897100
-9.09049945;0.00000000
-9.08549945;-0.93196360
-9.08049945;-2.98351400
-9.07549945;-4.47588600
-9.07049945;-5.96764200
-9.06549945;-7.83279900
-9.06049945;-9.51156400
-9.05549945;-9.88435100
-9.05049945;-11.18971000
-9.04549945;-10.63054000
-9.04049945;-10.81693000
-9.03549946;-9.69795700
-9.03049946;-11.74951000
-9.02549946;-7.83279900
-9.02049946;-7.64640700
-9.01549946;-5.40846400
-9.01049946;-4.84867100
-9.00549946;-3.91609200
-9.00049946;-4.47588600
-8.99549946;-4.10248500
-8.99049946;-4.47588600
-8.98549946;-4.10248500
-8.98049946;-6.71382900
-8.97549946;-6.52743600
-8.97049946;-8.76537800
-8.96549946;-7.83279900
-8.96049946;-11.00332000
-8.95549946;-11.18971000
-8.95049946;-12.12229000
-8.94549946;-12.12229000
-8.94049946;-12.30869000
-8.93549946;-11.74951000
-8.93049946;-11.37611000
-8.92549946;-11.93590000
-8.92049946;-11.37611000
-8.91549946;-10.44414000
-8.91049946;-10.44414000
-8.90549946;-9.32455600
-8.90049946;-8.95177200
-8.89549946;-6.90022100
-8.89049946;-8.57898500
-8.88549946;-6.34104300
-8.88049946;-6.15403500
-8.87549946;-5.78125000
-8.87049946;-5.96764200
-8.86549946;-5.03506400
-8.86049946;-5.22207200
-8.85549946;-3.91609200
-8.85049946;-4.47588600
-8.84549946;-3.91609200
-8.84049946;-3.35691400
-8.83549946;-1.67815000
-8.83049946;-0.93196360
-8.82549946;0.74557080
-8.82049946;0.93196360
-8.81549946;2.42433500
-8.81049946;3.72970000
-8.80549946;3.91609200
-8.80049946;3.72970000
-8.79549946;4.28949300
-8.79049946;4.47588600
-8.78549946;5.78125000
-8.78049946;5.40846400
-8.77549946;3.91609200
-8.77049946;3.35691400
-8.76549946;3.72970000
-8.76049946;4.28949300
-8.75549946;4.66227800
-8.75049946;5.96764200
-8.74549946;4.84867100
-8.74049946;6.15403500
-8.73549946;5.96764200
-8.73049946;7.27362200
-8.72549946;7.83279900
-8.72049946;8.39259300
-8.71549946;9.32455600
-8.71049946;9.51156400
-8.70549946;9.32455600
-8.70049946;9.69795700
-8.69549946;9.88435100
-8.69049946;8.95177200
-8.68549946;8.20558500
-8.68049946;8.39259300
-8.67549946;8.95177200
-8.67049946;8.01919300
-8.66549946;6.71382900
-8.66049946;5.22207200
-8.65549946;4.10248500
-8.65049946;4.84867100
-8.64549946;5.40846400
-8.64049947;4.66227800
-8.63549947;3.35691400
-8.63049947;3.35691400
-8.62549947;2.98351400
-8.62049947;2.98351400
-8.61549947;2.79712100
-8.61049947;3.35691400
-8.60549947;3.72970000
-8.60049947;2.79712100
-8.59549947;2.98351400
-8.59049947;2.42433500
-8.58549947;2.61072800
-8.58049947;2.61072800
-8.57549947;2.98351400
-8.57049947;4.28949300
-8.56549947;4.84867100
-8.56049947;5.59485700
-8.55549947;6.15403500
-8.55049947;4.66227800
-8.54549947;6.15403500
-8.54049947;7.27362200
-8.53549947;7.27362200
-8.53049947;7.64640700
-8.52549947;9.69795700
-8.52049947;8.95177200
-8.51549947;10.25714000
-8.51049947;9.69795700
-8.50549947;9.13816400
-8.50049947;7.46001400
-8.49549947;6.71382900
-8.49049947;4.66227800
-8.48549947;4.10248500
-8.48049947;0.37278540
-8.47549947;0.93196360
-8.47049947;-1.67815000
-8.46549947;-2.79712100
-8.46049947;-2.79712100
-8.45549947;-2.61072800
-8.45049947;-3.91609200
-8.44549947;-3.17052100
-8.44049947;-2.79712100
-8.43549947;-2.79712100
-8.43049947;-2.05093500
-8.42549947;-1.11897100
-8.42049947;0.00000000
-8.41549947;1.30536400
-8.41049947;1.86454200
-8.40549947;2.23794300
-8.40049947;2.61072800
-8.39549947;2.05093500
-8.39049947;2.42433500
-8.38549947;2.79712100
-8.38049947;2.42433500
-8.37549947;1.86454200
-8.37049947;0.74557080
-8.36549947;0.55917820
-8.36049947;0.00000000
-8.35549947;0.74557080
-8.35049947;-0.55917820
-8.34549947;0.55917820
-8.34049947;0.18639270
-8.33549947;2.05093500
-8.33049947;2.05093500
-8.32549947;1.11897100
-8.32049947;1.67815000
-8.31549947;2.05093500
-8.31049947;1.49175700
-8.30549947;2.79712100
-8.30049947;2.05093500
-8.29549947;0.74557080
-8.29049947;-0.18639270
-8.28549947;-1.11897100
-8.28049947;-2.98351400
-8.27549947;-3.35691400
-8.27049947;-5.03506400
-8.26549947;-6.52743600
-8.26049947;-8.39259300
-8.25549947;-9.51156400
-8.25049947;-9.13816400
-8.24549948;-10.44414000
-8.24049948;-10.07074000
-8.23549948;-10.63054000
-8.23049948;-9.51156400
-8.22549948;-8.57898500
-8.22049948;-7.27362200
-8.21549948;-6.34104300
-8.21049948;-4.28949300
-8.20549948;-3.17052100
-8.20049948;-3.91609200
-8.19549948;-3.54330700
-8.19049948;-5.96764200
-8.18549948;-5.59485700
-8.18049948;-7.08661400
-8.17549948;-7.64640700
-8.17049948;-8.76537800
-8.16549948;-9.13816400
-8.16049948;-10.44414000
-8.15549948;-10.81693000
-8.15049948;-11.56312000
-8.14549948;-11.18971000
-8.14049948;-12.86848000
-8.13549948;-12.30869000
-8.13049948;-12.68209000
-8.12549948;-12.30869000
-8.12049948;-11.00332000
-8.11549948;-10.81693000
-8.11049948;-10.44414000
-8.10549948;-10.63054000
-8.10049948;-10.44414000
-8.09549948;-9.13816400
-8.09049948;-7.46001400
-8.08549948;-7.83279900
-8.08049948;-5.78125000
-8.07549948;-6.34104300
-8.07049948;-5.40846400
-8.06549948;-5.22207200
-8.06049948;-5.40846400
-8.05549948;-4.47588600
-8.05049948;-4.84867100
-8.04549948;-3.91609200
-8.04049948;-2.61072800
-8.03549948;-1.86454200
-8.03049948;-2.05093500
-8.02549948;-0.18639270
-8.02049948;0.93196360
-8.01549948;2.23794300
-8.01049948;2.79712100
-8.00549948;4.28949300
-8.00049948;3.35691400
-7.99549948;5.03506400
-7.99049948;4.10248500
-7.98549948;5.22207200
-7.98049948;3.72970000
-7.97549948;4.28949300
-7.97049948;3.91609200
-7.96549948;4.84867100
-7.96049948;5.03506400
-7.95549948;4.84867100
-7.95049948;4.84867100
-7.94549948;5.40846400
-7.94049948;5.96764200
-7.93549948;6.90022100
-7.93049948;8.20558500
-7.92549948;7.64640700
-7.92049948;8.57898500
-7.91549948;8.95177200
-7.91049948;8.39259300
-7.90549948;8.76537800
-7.90049948;8.95177200
-7.89549948;8.95177200
-7.89049948;8.01919300
-7.88549948;8.76537800
-7.88049948;8.01919300
-7.87549948;7.46001400
-7.87049948;7.08661400
-7.86549948;5.96764200
-7.86049948;5.78125000
-7.85549948;5.59485700
-7.85049949;4.84867100
-7.84549949;5.40846400
-7.84049949;5.03506400
-7.83549949;4.47588600
-7.83049949;4.10248500
-7.82549949;4.66227800
-7.82049949;3.35691400
-7.81549949;2.79712100
-7.81049949;3.72970000
-7.80549949;3.35691400
-7.80049949;1.86454200
-7.79549949;2.61072800
-7.79049949;2.23794300
-7.78549949;2.61072800
-7.78049949;3.72970000
-7.77549949;3.72970000
-7.77049949;3.35691400
-7.76549949;3.17052100
-7.76049949;3.72970000
-7.75549949;4.84867100
-7.75049949;5.78125000
-7.74549949;6.52743600
-7.74049949;6.34104300
-7.73549949;8.01919300
-7.73049949;9.51156400
-7.72549949;9.88435100
-7.72049949;9.88435100
-7.71549949;9.69795700
-7.71049949;9.13816400
-7.70549949;9.32455600
-7.70049949;8.39259300
-7.69549949;6.71382900
-7.69049949;5.59485700
-7.68549949;4.10248500
-7.68049949;2.05093500
-7.67549949;1.11897100
-7.67049949;-0.74557080
-7.66549949;-1.86454200
-7.66049949;-2.98351400
-7.65549949;-3.72970000
-7.65049949;-3.91609200
-7.64549949;-3.35691400
-7.64049949;-2.79712100
-7.63549949;-2.61072800
-7.63049949;-2.61072800
-7.62549949;-0.74557080
-7.62049949;0.18639270
-7.61549949;1.49175700
-7.61049949;1.30536400
-7.60549949;2.42433500
-7.60049949;3.17052100
-7.59549949;3.54330700
-7.59049949;2.98351400
-7.58549949;2.61072800
-7.58049949;2.98351400
-7.57549949;1.86454200
-7.57049949;1.30536400
-7.56549949;0.55917820
-7.56049949;0.37278540
-7.55549949;-0.37278540
-7.55049949;0.00000000
-7.54549949;-1.30536400
-7.54049949;-0.74557080
-7.53549949;-0.18639270
-7.53049949;0.00000000
-7.52549949;1.11897100
-7.52049949;1.30536400
-7.51549949;1.86454200
-7.51049949;0.74557080
-7.50549949;1.67815000
-7.50049949;0.18639270
-7.49549949;0.18639270
-7.49049949;0.37278540
-7.48549949;0.55917820
-7.48049949;-2.23794300
-7.47549949;-3.35691400
-7.47049949;-5.22207200
-7.46549949;-6.52743600
-7.46049949;-7.64640700
-7.45549950;-9.13816400
-7.45049950;-10.25714000
-7.44549950;-10.81693000
-7.44049950;-10.07074000
-7.43549950;-10.63054000
-7.43049950;-10.44414000
-7.42549950;-8.76537800
-7.42049950;-7.83279900
-7.41549950;-6.52743600
-7.41049950;-5.03506400
-7.40549950;-3.91609200
-7.40049950;-3.54330700
-7.39549950;-4.47588600
-7.39049950;-3.17052100
-7.38549950;-4.66227800
-7.38049950;-6.15403500
-7.37549950;-7.27362200
-7.37049950;-8.20558500
-7.36549950;-8.57898500
-7.36049950;-9.88435100
-7.35549950;-10.07074000
-7.35049950;-11.93590000
-7.34549950;-12.68209000
-7.34049950;-12.86848000
-7.33549950;-12.30869000
-7.33049950;-12.86848000
-7.32549950;-11.00332000
-7.32049950;-11.74951000
-7.31549950;-12.12229000
-7.31049950;-11.74951000
-7.30549950;-10.25714000
-7.30049950;-8.20558500
-7.29549950;-7.83279900
-7.29049950;-7.83279900
-7.28549950;-5.96764200
-7.28049950;-5.78125000
-7.27549950;-4.84867100
-7.27049950;-5.59485700
-7.26549950;-5.03506400
-7.26049950;-5.22207200
-7.25549950;-3.54330700
-7.25049950;-3.17052100
-7.24549950;-3.91609200
-7.24049950;-3.17052100
-7.23549950;-3.35691400
-7.23049950;-1.30536400
-7.22549950;-1.30536400
-7.22049950;0.74557080
-7.21549950;2.05093500
-7.21049950;1.86454200
-7.20549950;3.72970000
-7.20049950;2.61072800
-7.19549950;3.91609200
-7.19049950;4.28949300
-7.18549950;5.22207200
-7.18049950;4.28949300
-7.17549950;4.28949300
-7.17049950;5.22207200
-7.16549950;5.22207200
-7.16049950;4.47588600
-7.15549950;4.84867100
-7.15049950;5.22207200
-7.14549950;6.15403500
-7.14049950;6.15403500
-7.13549950;5.59485700
-7.13049950;7.08661400
-7.12549950;7.27362200
-7.12049950;8.57898500
-7.11549950;8.01919300
-7.11049950;8.95177200
-7.10549950;8.95177200
-7.10049950;9.69795700
-7.09549950;9.13816400
-7.09049950;9.51156400
-7.08549950;9.51156400
-7.08049950;8.39259300
-7.07549950;8.39259300
-7.07049950;6.71382900
-7.06549950;6.34104300
-7.06049951;5.40846400
-7.05549951;5.78125000
-7.05049951;5.22207200
-7.04549951;4.28949300
-7.04049951;3.91609200
-7.03549951;4.84867100
-7.03049951;4.10248500
-7.02549951;3.72970000
-7.02049951;3.91609200
-7.01549951;3.72970000
-7.01049951;3.35691400
-7.00549951;2.79712100
-7.00049951;2.05093500
-6.99549951;3.72970000
-6.99049951;2.42433500
-6.98549951;3.54330700
-6.98049951;3.54330700
-6.97549951;4.10248500
-6.97049951;4.28949300
-6.96549951;4.28949300
-6.96049951;5.40846400
-6.95549951;4.84867100
-6.95049951;5.78125000
-6.94549951;6.52743600
-6.94049951;7.08661400
-6.93549951;7.64640700
-6.93049951;8.01919300
-6.92549951;8.95177200
-6.92049951;9.51156400
-6.91549951;9.51156400
-6.91049951;9.51156400
-6.90549951;8.95177200
-6.90049951;7.46001400
-6.89549951;7.46001400
-6.89049951;6.34104300
-6.88549951;3.72970000
-6.88049951;2.42433500
-6.87549951;0.37278540
-6.87049951;-0.55917820
-6.86549951;-2.61072800
-6.86049951;-2.79712100
-6.85549951;-2.79712100
-6.85049951;-2.98351400
-6.84549951;-2.98351400
-6.84049951;-2.61072800
-6.83549951;-2.42433500
-6.83049951;-2.05093500
-6.82549951;-1.11897100
-6.82049951;-0.55917820
-6.81549951;0.37278540
-6.81049951;0.74557080
-6.80549951;2.23794300
-6.80049951;1.30536400
-6.79549951;2.79712100
-6.79049951;2.79712100
-6.78549951;0.18639270
-6.78049951;1.67815000
-6.77549951;1.49175700
-6.77049951;-0.37278540
-6.76549951;0.18639270
-6.76049951;0.18639270
-6.75549951;0.00000000
-6.75049951;0.55917820
-6.74549951;0.55917820
-6.74049951;0.55917820
-6.73549951;1.49175700
-6.73049951;1.30536400
-6.72549951;0.93196360
-6.72049951;1.86454200
-6.71549951;1.86454200
-6.71049951;1.30536400
-6.70549951;0.74557080
-6.70049951;1.49175700
-6.69549951;1.11897100
-6.69049951;0.93196360
-6.68549951;0.00000000
-6.68049951;-3.54330700
-6.67549951;-4.10248500
-6.67049951;-4.84867100
-6.66549951;-5.78125000
-6.66049952;-7.83279900
-6.65549952;-8.20558500
-6.65049952;-8.95177200
-6.64549952;-9.69795700
-6.64049952;-10.25714000
-6.63549952;-10.07074000
-6.63049952;-9.51156400
-6.62549952;-8.57898500
-6.62049952;-6.15403500
-6.61549952;-5.40846400
-6.61049952;-5.03506400
-6.60549952;-3.91609200
-6.60049952;-4.10248500
-6.59549952;-4.10248500
-6.59049952;-4.47588600
-6.58549952;-4.47588600
-6.58049952;-6.34104300
-6.57549952;-6.34104300
-6.57049952;-7.27362200
-6.56549952;-8.95177200
-6.56049952;-10.44414000
-6.55549952;-11.56312000
-6.55049952;-11.56312000
-6.54549952;-11.74951000
-6.54049952;-11.93590000
-6.53549952;-12.12229000
-6.53049952;-11.56312000
-6.52549952;-11.93590000
-6.52049952;-11.74951000
-6.51549952;-11.56312000
-6.51049952;-11.74951000
-6.50549952;-10.63054000
-6.50049952;-10.63054000
-6.49549952;-8.20558500
-6.49049952;-8.76537800
-6.48549952;-6.52743600
-6.48049952;-7.27362200
-6.47549952;-5.78125000
-6.47049952;-5.78125000
-6.46549952;-5.40846400
-6.46049952;-4.47588600
-6.45549952;-5.03506400
-6.45049952;-3.35691400
-6.44549952;-3.54330700
-6.44049952;-2.79712100
-6.43549952;-2.23794300
-6.43049952;-1.11897100
-6.42549952;-0.37278540
-6.42049952;0.18639270
-6.41549952;1.67815000
-6.41049952;2.23794300
-6.40549952;2.79712100
-6.40049952;4.10248500
-6.39549952;3.54330700
-6.39049952;4.66227800
-6.38549952;4.84867100
-6.38049952;4.84867100
-6.37549952;3.91609200
-6.37049952;3.91609200
-6.36549952;3.91609200
-6.36049952;5.96764200
-6.35549952;5.59485700
-6.35049952;5.78125000
-6.34549952;5.03506400
-6.34049952;5.59485700
-6.33549952;6.52743600
-6.33049952;7.08661400
-6.32549952;7.46001400
-6.32049952;7.64640700
-6.31549952;8.01919300
-6.31049952;8.57898500
-6.30549952;8.57898500
-6.30049952;9.32455600
-6.29549952;8.95177200
-6.29049952;8.95177200
-6.28549952;8.95177200
-6.28049952;9.13816400
-6.27549952;8.39259300
-6.27049952;6.71382900
-6.26549953;6.34104300
-6.26049953;5.03506400
-6.25549953;5.59485700
-6.25049953;6.15403500
-6.24549953;6.15403500
-6.24049953;5.22207200
-6.23549953;3.91609200
-6.23049953;3.91609200
-6.22549953;3.91609200
-6.22049953;3.17052100
